state|date|summary|link_text|link|||
Indiana|12/3/2025|The attorney general and secretary of state identified 165 possible noncitizens who were registered to vote after gaining access to the SAVE database. Of these individuals, at least 21 are alleged to have voted in recent elections. |identified 165 possible noncitizens|https://events.in.gov/event/attorney-general-todd-rokita-and-secretary-of-state-diego-morales-secure-landmark-settlement-to-safeguard-voter-rolls-identify-illegal-votes|||
Iowa|10/22/2024|The secretary of state identified 2,176 possible noncitizens who allegedly voted or registered to vote. Of these, 2,022 individuals had self-reported their noncitizen status before voting or registering to vote.|identified 2,176 possible noncitizens|https://sos.iowa.gov/news-resources/statement-secretary-state-paul-pate-noncitizen-voting|||
Iowa|3/20/2025|Update to the 10/22/2024 entry: The secretary of state reduced the number of possible noncitizens identified as having voted or registered to vote from 2,176 to 277 after comparing state data with the SAVE database. Of the 277, 35 noncitizens voted in Iowa last year and another five noncitizens had their ballots rejected. |"reduced the number of possible noncitizens||voted in Iowa list year"|"https://sos.iowa.gov/news-resources/iowa-secretary-states-audit-voter-registration-lists-finds-277-confirmed-noncitizens||https://www.radioiowa.com/2025/06/25/charges-filed-in-six-cases-of-alleged-2024-iowa-election-fraud/"|||
Iowa|8/8/2025|A noncitizen in Palo Alto County was convicted of illegally voting in local elections four years ago.|convicted of illegally voting|https://www.desmoinesregister.com/story/news/crime-and-courts/2025/08/08/iowa-man-convicted-illegal-voting-graettinger-brenna-bird/85561873007/?gnt-cfr=1&gca-cat=p&gca-uir=false&gca-epti=z116239p119450c119450u003639e006950v116239&gca-ft=226&gca-ds=sophi|||
Iowa|9/18/2025|A Hancock County jury acquitted an individual accused of illegally voting as a noncitizen. The state has filed charged against at least five other individuals who are accused of illegally registering and/or voting as noncitizens in Iowa since 2023.|acquitted an individual|https://www.desmoinesregister.com/story/news/crime-and-courts/2025/09/18/jury-clears-iowa-election-noncitizen-voting-misconduct-case-secretary-of-state/86171049007/?gnt-cfr=1&gca-cat=p&gca-uir=true&gca-epti=z119839p119550c119550e006250v119839d--xx--b--xx--&gca-ft=148&gca-ds=sophi|||
Iowa|3/12/2026|A Johnson County jury acquitted an individual accused of illegally registering to vote and voting as a noncitizen. |acquitted an individual|https://www.desmoinesregister.com/story/news/crime-and-courts/2026/03/12/iowa-illegal-noncitizen-voting-trial-acquitted/89119274007/|||
Iowa|3/29/2026|Update to the 9/18/2025 entry: Of 2,176 possible noncitizens on the state's voter rolls, the state attorney general charged six individuals with first-degree election misconduct. Two were acquitted, two were convicted, and two have pending charges. Of the convictions, one was given a deferred judgement and probation and the other was later ruled to be entitled to a new trial. |"charged six individuals||of the convictions"|"https://www.thegazette.com/news/elections/state/only-1-guilty-verdict-thus-far-in-iowa-s-pursuit-of-noncitizens-voting/article_9a718e63-eecd-4f3b-bf3b-33e9095c8e39.html||https://www.desmoinesregister.com/story/news/crime-and-courts/2026/03/12/iowa-illegal-noncitizen-voting-trial-acquitted/89119274007/"|||
Kansas|4/12/2017|The secretary of state announced the conviction of an individual who voted as a noncitizen in multiple elections. The conviction is the first related to noncitizen voting since the secretary gained the authority to prosecute voter fraud in 2015. |conviction of an individual|https://www.kansascity.com/news/politics-government/article144256424.html|||
Kansas|11/5/2025|The attorney general filed charges against an individual who allegedly voted multiples times as a noncitizen.|filed charges against|https://www.ag.ks.gov/Home/Components/News/News/231/1292|||
Kansas|4/20/2026|A Kansas mayor was convicted of illegally voting as a noncitizen. The individual said he did not know voting as a permanent US resident was illegal and pleaded guilty to three misdemeanor counts of disorderly election conduct. |convicted of illegally voting |https://www.nytimes.com/2026/04/20/us/kansas-mayor-noncitizen-voting-case-guilty-plea.html|||
